2020-01-23 11:47:27	Temperature 28.29	| Altitude : 41.23	| Pression : 1006.66	| Humidite : 55.04	| Feu : 0
2020-01-23 11:47:30	Temperature 28.93	| Altitude : 62.79	| Pression : 1010.22	| Humidite : 25.24	| Feu : 0
2020-01-23 11:47:34	Temperature 29.03	| Altitude : 61.26	| Pression : 1006.70	| Humidite : 54.72	| Feu : 0
2020-01-23 11:47:38	Temperature 28.53	| Altitude : 42.71	| Pression : 1006.68	| Humidite : 54.84	| Feu : 0
2020-01-23 11:47:41	Temperature 28.48	| Altitude : 36.93	| Pression : 1006.71	| Humidite : 54.60	| Feu : 0
2020-01-23 11:47:44	Temperature 28.43	| Altitude : 34.82	| Pression : 1006.68	| Humidite : 54.86	| Feu : 0
2020-01-23 11:47:47	Temperature 28.45	| Altitude : 37.87	| Pression : 1006.59	| Humidite : 55.61	| Feu : 0
2020-01-23 11:47:50	Temperature 28.46	| Altitude : 35.15	| Pression : 1006.69	| Humidite : 54.75	| Feu : 0
2020-01-23 11:47:53	Temperature 28.43	| Altitude : 33.21	| Pression : 1006.66	| Humidite : 55.03	| Feu : 0
2020-01-23 11:47:57	Temperature 28.45	| Altitude : 32.18	| Pression : 1006.66	| Humidite : 55.00	| Feu : 0
2020-01-23 11:48:00	Temperature 28.47	| Altitude : 31.59	| Pression : 1006.67	| Humidite : 54.93	| Feu : 0
2020-01-23 11:48:03	Temperature 28.51	| Altitude : 31.37	| Pression : 1006.66	| Humidite : 54.98	| Feu : 1
2020-01-23 11:48:06	Temperature 28.52	| Altitude : 31.19	| Pression : 1006.64	| Humidite : 55.15	| Feu : 0
2020-01-23 11:48:09	Temperature 28.53	| Altitude : 31.02	| Pression : 1006.65	| Humidite : 55.08	| Feu : 0
2020-01-23 11:48:12	Temperature 28.50	| Altitude : 30.77	| Pression : 1006.67	| Humidite : 54.96	| Feu : 0
2020-01-23 11:48:16	Temperature 28.49	| Altitude : 30.70	| Pression : 1006.66	| Humidite : 54.85	| Feu : 0
2020-01-23 11:48:19	Temperature 28.49	| Altitude : 30.58	| Pression : 1006.64	| Humidite : 55.18	| Feu : 0
2020-01-23 11:48:22	Temperature 28.49	| Altitude : 30.43	| Pression : 1006.66	| Humidite : 55.01	| Feu : 0
2020-01-23 11:48:25	Temperature 28.48	| Altitude : 30.46	| Pression : 1006.63	| Humidite : 55.29	| Feu : 0
2020-01-23 11:48:28	Temperature 28.47	| Altitude : 30.73	| Pression : 1006.63	| Humidite : 55.23	| Feu : 0
2020-01-23 11:48:31	Temperature 28.45	| Altitude : 30.46	| Pression : 1006.63	| Humidite : 55.24	| Feu : 0
2020-01-23 11:48:38	Temperature 28.43	| Altitude : 30.35	| Pression : 1006.63	| Humidite : 55.28	| Feu : 0
2020-01-23 11:48:41	Temperature 28.43	| Altitude : 30.36	| Pression : 1006.67	| Humidite : 54.96	| Feu : 0
2020-01-23 11:48:44	Temperature 28.42	| Altitude : 30.39	| Pression : 1006.66	| Humidite : 55.04	| Feu : 0
2020-01-23 11:48:47	Temperature 28.41	| Altitude : 30.44	| Pression : 1006.63	| Humidite : 55.27	| Feu : 0
2020-01-23 11:48:50	Temperature 28.39	| Altitude : 30.33	| Pression : 1006.61	| Humidite : 55.45	| Feu : 0
2020-01-23 11:48:54	Temperature 28.38	| Altitude : 30.37	| Pression : 1006.62	| Humidite : 55.36	| Feu : 0
2020-01-23 11:48:57	Temperature 28.37	| Altitude : 30.37	| Pression : 1006.65	| Humidite : 55.08	| Feu : 0
2020-01-23 11:49:00	Temperature 28.35	| Altitude : 30.43	| Pression : 1006.64	| Humidite : 55.17	| Feu : 0
2020-01-23 11:49:03	Temperature 28.36	| Altitude : 30.42	| Pression : 1006.62	| Humidite : 55.32	| Feu : 0
2020-01-23 11:49:06	Temperature 28.37	| Altitude : 30.33	| Pression : 1006.65	| Humidite : 55.13	| Feu : 0
2020-01-23 11:49:09	Temperature 28.34	| Altitude : 30.27	| Pression : 1006.62	| Humidite : 55.32	| Feu : 0
2020-01-23 11:49:13	Temperature 28.34	| Altitude : 30.22	| Pression : 1006.62	| Humidite : 55.32	| Feu : 0
2020-01-23 11:49:16	Temperature 28.35	| Altitude : 30.21	| Pression : 1006.62	| Humidite : 55.35	| Feu : 0
2020-01-23 11:49:19	Temperature 28.34	| Altitude : 30.21	| Pression : 1006.63	| Humidite : 55.27	| Feu : 0
2020-01-23 11:49:22	Temperature 28.34	| Altitude : 30.18	| Pression : 1006.63	| Humidite : 55.22	| Feu : 0
2020-01-23 11:49:25	Temperature 28.34	| Altitude : 30.20	| Pression : 1006.63	| Humidite : 55.30	| Feu : 0
2020-01-23 11:49:29	Temperature 28.33	| Altitude : 30.17	| Pression : 1006.60	| Humidite : 55.55	| Feu : 0
2020-01-23 11:49:32	Temperature 28.33	| Altitude : 30.11	| Pression : 1006.60	| Humidite : 55.53	| Feu : 0
2020-01-23 11:49:38	Temperature 28.34	| Altitude : 30.08	| Pression : 1006.60	| Humidite : 55.56	| Feu : 0
2020-01-23 11:49:41	Temperature 28.35	| Altitude : 30.03	| Pression : 1006.62	| Humidite : 55.37	| Feu : 0
2020-01-23 11:49:44	Temperature 28.34	| Altitude : 29.93	| Pression : 1006.59	| Humidite : 55.59	| Feu : 0
2020-01-23 11:49:48	Temperature 28.32	| Altitude : 29.84	| Pression : 1006.60	| Humidite : 55.53	| Feu : 0
2020-01-23 11:49:51	Temperature 28.31	| Altitude : 29.73	| Pression : 1006.62	| Humidite : 55.37	| Feu : 0
2020-01-23 11:49:54	Temperature 28.30	| Altitude : 29.68	| Pression : 1006.60	| Humidite : 55.50	| Feu : 0
2020-01-23 11:49:57	Temperature 28.30	| Altitude : 29.59	| Pression : 1006.60	| Humidite : 55.53	| Feu : 0
